StateID,DOB,EntryDate,Ethnicity,FirstName,Gender,Grade,LastName
6658813.0,1998-03-08 00:00:00,2015-08-01,B,BRENNON,M,12.0,AHNELL
6658813.0,0,2015-08-01,B,BRENNON,M,12.0,AHNELL
5903576.0,2002-07-28 00:00:00,2015-08-01,B,BRADEN,M,8.0,AHUNA
5903576.0,2001-07-28 00:00:00,2015-08-01,B,BRADEN,M,9.0,AHUNA
3416733.0,1999-08-09 00:00:00,2015-08-01,B,RYAN,M,11.0,BARRY
3416733.0,0,2015-08-01,B,RYAN,M,11.0,BARRY
2680118.0,1998-08-13 00:00:00,2015-08-01,B,LEXI,F,12.0,BEUTEL
2680118.0,1998-08-13 00:00:00,2015-08-01,B,LEXY,F,12.0,BEUTEL
6301815.0,1999-01-23 00:00:00,2015-08-01,B,ZIANA,F,11.0,CHRYSTAL
6301815.0,1999-01-23 00:00:00,2015-08-01,0,ZIANA,F,11.0,CHRYSTAL
7793552.0,1997-09-19 00:00:00,2015-08-01,B,VONTRELL,M,12.0,CILLEY
5786182.0,1999-01-03 00:00:00,2015-08-01,B,VANESSA,M,11.0,COKINS
5786182.0,1999-01-03 00:00:00,2015-08-01,0,VANESSA,M,11.0,COKINS
8393341.0,1998-12-17 00:00:00,2015-08-04,B,ARIANNA,F,11.0,DUMDEI
8393341.0,1998-12-17 00:00:00,2015-08-01,B,ARIANNA,F,11.0,DUMDEI
0.0,2000-10-10 00:00:00,2015-08-01,B,BISHOP,M,9.0,FOLGER
8912935.0,1997-11-21 00:00:00,2015-08-01,H,JOHNATHON,M,12.0,GANGWISH
9777171.0,2010-08-20 00:00:00,2015-08-01,B,MASON,M,,HAILEY
9777171.0,1998-08-20 00:00:00,2015-08-01,B,MASON,M,12.0,HAILEY
7869139.0,2000-10-08 00:00:00,2015-08-01,B,TIFFANY,F,9.0,HEIDEMA
7869139.0,2000-10-08 00:00:00,2015-08-01,D,TIFFANY,F,9.0,HEIDEMA
1825529.0,2009-08-27 00:00:00,2015-09-02,B,LAUREN,F,1.0,HERNANDES
1825529.0,2009-08-27 00:00:00,2015-09-02,B,LAUREN,0,1.0,HERNANDES
8170502.0,2007-07-07 00:00:00,2015-08-01,B,HEAVEN,F,3.0,HOLLANDSWORTH
8170502.0,0,2015-08-01,B,HEAVEN,F,3.0,HOLLANDSWORTH
3898246.0,2010-08-09 00:00:00,2015-08-01,B,SKYLER,M,0.0,LOYACK
3898246.0,2016-08-09 00:00:00,2015-08-01,B,SKYLER,M,0.0,LOYACK
3601325.0,2001-05-03 00:00:00,2015-08-01,B,CHRISTIAN,M,9.0,MINVIELLE
3601325.0,1990-05-03 00:00:00,2015-08-01,B,CHRISTIAN,M,9.0,MINVIELLE
9960409.0,2008-11-14 00:00:00,2015-08-01,B,COLIN,M,1.0,MULVANEY
9960409.0,2008-11-14 00:00:00,2015-08-01,0,COLIN,M,1.0,MULVANEY
4004891.0,2009-02-03 00:00:00,2015-08-01,B,ADALYN,F,1.0,NARAMORE
4004891.0,2009-02-02 00:00:00,2015-08-01,B,ADALYN,F,1.0,NARAMORE
5824926.0,2001-01-24 00:00:00,2015-08-01,B,CAYLEE,F,9.0,PARROT
5824926.0,2001-01-24 00:00:00,2015-08-01,B,CAYLEE,F,9.0,PARROTT
2930604.0,1999-04-10 00:00:00,2015-08-01,B,ANDREW,M,11.0,RIDEAU
4903961.0,1998-07-03 00:00:00,2015-08-01,B,LAWRENCE,M,12.0,SHAUGHNESSY
4903961.0,1998-07-03 00:00:00,2015-08-01,B,LAWRENCE,0,12.0,SHAUGHNESSY
6691966.0,2010-04-19 00:00:00,2015-08-01,B,ROBIN,F,0.0,SUTTEN
4116930.0,2000-11-19 00:00:00,,B,OWEN,M,9.0,SWEARINGEN
4116930.0,2000-11-19 00:00:00,2015-08-01,B,OWEN,M,9.0,SWEARINGEN
16467.0,2000-09-03 00:00:00,2015-08-18,H,ZACHARY,M,9.0,TONNESEN
3800777.0,2001-07-05 00:00:00,2015-08-10,H,RACHEL,F,9.0,WAWRZYNIAK
3800777.0,2001-07-05 00:00:00,2015-08-01,H,RACHEL,F,9.0,WAWRZYNIAK
2946942234.0,2001-08-13 00:00:00,2015-08-01,B,BRODY,M,9.0,WIEDENHEFT
8755508.0,2001-08-12 00:00:00,2015-08-01,B,MARCOS,M,9.0,ZICHERMAN
8755508.0,2001-08-12 00:00:00,2015-08-01,B,MARCOS,M,9.0,ZICKERMAN
2563251.0,1999-01-19 00:00:00,2015-08-01,B,TRENTON,M,11.0,ZILK
2563251.0,1998-01-19 00:00:00,2015-08-01,B,TRENTON,M,12.0,ZILK
